Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,ASIN,Ad Group Default Bid,Bid,Keyword Text,Native Language Keyword,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Resolved Product Targeting Expression,Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,ACOS,CPC,ROAS
Sponsored Products,Campaign,Create,,,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,,04/01/2026,04/30/2026,Manual,paused,266.01,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,0.75,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,B0FDN1GDRY,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,acer nitro v 15 gaming laptop,,broad,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,acer nitro v intel i9,,broad,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,gaming laptop rtx 5060,,broad,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,acer nitro v rtx 5060,,broad,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,intel i9 gaming laptop 15 inch,,broad,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,acer nitro anv15 52,,broad,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,,N.SP.Q22026.Notebooks.Intel.B0FDN1GDRY,AG.B0FDN1GDRY.Broad,,,,enabled,,,,,0.75,165hz gaming laptop,,broad,,,,,,,,,,,,,,,,
