Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Brand store page views,Add to cart,5-second views (video ad),Complete views (video ad),Viewable impressions
"Sep 06, 2025","=""400654489506156""",B.Keyword.Products.SB.UPS.BestSellers,,250,DAILY_BUDGET,PAUSED,USD,58586,52,511.95,847.73,7,7,5,659.79,5,126,107,10,0,0,16867
"Oct 14, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,47176,183,1995.93,24720.2,89,136,56,9344.19,65,1090,262,168,0,0,29499
"Nov 19, 2025","=""490434522578484""",C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,656,3,16.38,0.0,0,0,0,0.0,0,1,1,0,91,29,128
"Sep 15, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,972,10,233.37,359.95,1,1,1,359.95,1,21,11,1,188,60,232
"Oct 15, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,3939,27,74.15,239.95,1,1,1,239.95,1,67,58,1,540,167,724
"Nov 10, 2025","=""327967099369911""",N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Nov 03, 2025","=""353873361287335""",B2B - B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,369,7,16.35,3120.4,9,10,1,227.95,1,15,8,11,0,0,179
"Sep 12, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,453,4,9.47,187.33,3,3,2,127.38,2,85,10,17,0,0,317
"Sep 05, 2025","=""353873361287335""",B2B - B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,220,1,45.78,0.0,0,0,0,0.0,0,4,1,0,0,0,119
"Nov 11, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,2957,3,12.59,708.75,3,5,1,195.95,1,15,1,4,0,0,108
"Oct 17, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,44214,147,1817.92,13175.7,39,63,21,3678.47,26,598,211,69,0,0,27000
"Nov 26, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1228,3,10.9,1044.75,5,5,2,417.9,2,8,0,6,0,0,105
"Sep 05, 2025","=""516203922618177""",N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Sep 26, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,1405,8,153.55,519.85,2,3,2,519.85,3,18,2,4,303,75,378
"Nov 10, 2025","=""362619829731385""",B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,3547,37,349.74,950.7,5,6,2,379.85,3,96,9,13,505,99,746
"Aug 29, 2025","=""501138070676838""",N.SB.Products.SB.UPS.AVR,,250,DAILY_BUDGET,PAUSED,USD,9405,28,52.98,96.95,1,1,1,96.95,1,21,25,3,0,0,1503
"Nov 20, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,2038,10,56.43,265.9,1,2,1,265.9,2,56,0,1,0,0,146
"Oct 09, 2025","=""353873361287335""",B2B - B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,352,3,6.2,1594.87,4,5,2,819.9,2,26,4,4,0,0,177
"Sep 11, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,4170,16,1949.85,388.9,2,2,2,388.9,2,89,35,42,0,0,3384
"Oct 18, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1392,10,46.18,341.95,1,1,1,341.95,1,14,9,2,0,0,375
"Sep 24, 2025","=""490434522578484""",C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,907,3,39.41,0.0,0,0,0,0.0,0,1,1,0,137,36,203
"Sep 14, 2025","=""533624646611887""",C.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Oct 24, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,119,1,14.31,0.0,0,0,0,0.0,0,1,0,0,19,8,32
"Nov 06, 2025","=""353873361287335""",B2B - B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,418,3,29.92,341.95,1,1,1,341.95,1,5,3,2,0,0,203
"Nov 11, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,782,3,16.97,0.0,0,0,0,0.0,0,7,2,0,119,21,172
"Oct 16, 2025","=""438623516658807""",N.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,PAUSED,USD,34720,183,1309.04,1144.85,5,6,4,744.95,4,316,0,14,3168,388,5844
"Oct 14, 2025","=""400654489506156""",B.Keyword.Products.SB.UPS.BestSellers,,250,DAILY_BUDGET,PAUSED,USD,60295,76,659.8,1119.01,6,7,6,1119.01,7,155,99,10,0,0,20668
"Oct 26, 2025","=""362619829731385""",B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,3123,37,310.13,879.75,5,5,5,879.75,5,113,37,9,485,95,687
"Oct 30, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,1280,5,26.51,0.0,0,0,0,0.0,0,3,2,0,208,47,291
"Sep 05, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1900,1,45.69,0.0,0,0,0,0.0,0,13,0,0,0,0,86
"Oct 15, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,4128,6,39.66,360.85,2,3,1,208.95,1,45,7,3,0,0,981
"Oct 12, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,830,8,163.28,0.0,0,0,0,0.0,0,17,13,0,164,56,206
"Nov 23, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1760,10,94.66,1567.75,5,5,3,883.85,3,20,1,5,0,0,596
"Sep 21, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,785,15,293.87,629.9,2,2,1,409.95,1,53,8,11,150,54,206
"Nov 16, 2025","=""425328024590643""",C.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,6764,20,52.04,1939.5,4,10,3,679.85,3,59,8,5,0,0,2383
"Sep 12, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1160,3,26.61,0.0,0,0,0,0.0,0,7,2,2,0,0,73
"Aug 30, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,380,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,23
"Sep 19, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,1527,6,56.79,199.95,1,1,0,0.0,0,3,3,1,311,70,385
"Sep 08, 2025","=""349078398145277""",N.SB.Products.SB.UPS.Eco,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Oct 31, 2025","=""516203922618177""",N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,122031,259,1256.77,2699.34,14,14,12,2299.4,12,298,322,27,0,0,38525
"Nov 16, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1566,6,12.85,189.95,1,1,1,189.95,1,17,4,1,0,0,532
"Nov 19, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,4215,21,53.39,599.85,3,3,3,599.85,3,91,4,5,573,170,834
"Oct 19, 2025","=""369323377946560""",B2B - N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,1261,1,7.82,0.0,0,0,0,0.0,0,0,1,0,0,0,487
