Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Brand store page views,Add to cart,5-second views (video ad),Complete views (video ad),Viewable impressions
"Dec 01, 2025","=""353873361287335""",B2B - B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,542,3,5.56,0.0,0,0,0,0.0,0,12,7,0,0,0,232
"Dec 14, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,1072,29,0.0,967.7,5,6,4,767.75,5,66,39,9,0,0,836
"Dec 13, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,4801,37,103.71,581.9,2,2,2,581.9,2,91,11,16,698,222,974
"Dec 28, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,66,1,1.01,60.9,1,1,1,60.9,1,24,3,4,10,3,8
"Dec 16, 2025","=""425328024590643""",C.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,12635,57,131.35,1627.2,9,10,7,1267.3,8,118,29,17,0,0,4503
"Dec 02, 2025","=""362619829731385""",B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,3476,41,300.37,1717.59,8,9,7,1517.64,8,111,5,9,454,85,681
"Dec 27, 2025","=""425328024590643""",C.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,11381,48,151.7,1387.7,6,6,4,919.8,4,78,19,9,0,0,3497
"Dec 26, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,387,2,5.4,529.65,6,7,4,299.8,4,72,4,15,0,0,246
"Dec 04, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Dec 24, 2025","=""516203922618177""",N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,42723,141,411.97,3937.03,20,21,15,2957.33,15,303,197,34,0,0,11101
"Dec 24, 2025","=""425328024590643""",C.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,6000,23,75.94,427.9,2,2,1,199.95,1,64,5,7,0,0,2031
"Dec 03, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,1209,32,0.0,1141.75,2,5,1,341.95,1,86,31,14,0,0,944
"Dec 05, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,1085,21,0.0,3762.89,10,15,3,928.04,4,80,17,10,0,0,843
"Dec 31, 2025","=""490434522578484""",C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,398,0,0.0,0.0,0,0,0,0.0,0,0,0,0,63,21,86
"Dec 27, 2025","=""84817009251939""",C.Keyword.Video.SB.PFCSinewave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,2734,14,48.47,341.95,1,1,0,0.0,0,23,2,1,332,60,530
"Dec 04, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,97,0,0.0,0.0,0,0,0,0.0,0,0,0,0,24,2,34
"Dec 12, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,916,28,0.0,1514.57,9,10,6,1278.62,7,111,23,16,0,0,726
"Dec 04, 2025","=""369323377946560""",B2B - N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Dec 09, 2025","=""516203922618177""",N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,110250,246,713.15,6868.44,33,39,28,6025.69,34,567,343,56,0,0,28434
"Dec 10, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,97,2,3.25,0.0,0,0,0,0.0,0,21,0,1,25,6,31
"Dec 20, 2025","=""362619829731385""",B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,2246,17,87.8,519.85,3,3,3,519.85,3,43,9,3,268,50,409
"Dec 21, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,3956,26,78.59,239.95,1,1,1,239.95,1,58,11,4,518,175,793
"Dec 03, 2025","=""362619829731385""",B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,3122,29,268.95,399.9,2,2,2,399.9,2,80,8,4,440,74,608
"Dec 10, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,7279,53,152.65,2625.4,12,16,7,1493.65,11,130,19,21,1125,337,1632
"Dec 31, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,1159,24,0.0,482.8,4,4,3,444.85,3,93,31,13,0,0,872
"Dec 29, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,10428,89,261.82,5287.4,17,20,12,3091.4,12,232,36,27,1791,542,2483
"Dec 13, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,903,23,0.0,494.84,4,4,4,494.84,4,85,28,7,0,0,682
"Dec 04, 2025","=""490434522578484""",C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,466,1,7.46,0.0,0,0,0,0.0,0,1,0,0,54,11,84
"Dec 18, 2025","=""490434522578484""",C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,283,0,0.0,0.0,0,0,0,0.0,0,0,0,0,35,6,50
"Dec 15, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Dec 02, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,5060,29,78.07,159.99,1,1,1,159.99,1,73,12,7,738,210,1058
"Dec 11, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,75,1,0.88,0.0,0,0,0,0.0,0,1,2,0,12,4,11
"Dec 16, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,59,0,0.0,0.0,0,0,0,0.0,0,0,0,0,8,2,12
"Dec 02, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,131,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,23
"Dec 15, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,310,0,0.0,0.0,0,0,0,0.0,0,0,0,0,23,3,38
"Dec 16, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,318,2,1.95,119.95,1,1,1,119.95,1,4,0,2,19,3,37
"Dec 19, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,69,0,0.0,0.0,0,0,0,0.0,0,0,0,0,20,8,24
"Dec 08, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,7395,62,168.03,2140.75,5,5,4,1798.8,4,174,32,17,1067,326,1543
"Dec 20, 2025","=""517243732232070""",B.RSOV.Products.SB.UPS.1500units,,14507,LIFETIME_BUDGET,ENABLED,USD,1075,25,0.0,569.85,3,3,3,569.85,3,89,23,6,0,0,814
"Dec 27, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,401,4,7.06,1034.85,8,11,4,797.39,5,124,15,13,0,0,265
"Dec 31, 2025","=""293529288726869""",B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,22,0,0.0,0.0,0,0,0,0.0,0,0,0,0,2,1,4
