Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Brand store page views,Add to cart,5-second views (video ad),Complete views (video ad),Viewable impressions
"Jan 19, 2025","=""60249080858733""",C.Keyword.Video.SB.UPS.PFCSinewave.CPPFC(1),,250,DAILY_BUDGET,PAUSED,USD,260,0,0.0,0.0,0,0,0,0.0,0,0,0,0,11,3,23
"Feb 24, 2025","=""74868404430193""",N.Keyword.Video.SB.UPS.SmartAppLCD.OR.OR500LCRM1U,,250,DAILY_BUDGET,PAUSED,USD,892,1,0.93,0.0,0,0,0,0.0,0,6,0,0,43,6,98
"Mar 03, 2025","=""327967099369911""",N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,PAUSED,USD,82416,155,1001.15,1905.55,9,9,7,1158.65,7,233,0,17,0,0,28795
"Feb 22, 2025","=""112828660396406""",N.Keyword.Video.SB.UPS.SmartAppSinewave.OLHD,,250,DAILY_BUDGET,PAUSED,USD,1755,8,11.76,0.0,0,0,0,0.0,0,6,0,0,126,9,261
"Apr 02, 2025","=""112828660396406""",N.Keyword.Video.SB.UPS.SmartAppSinewave.OLHD,,250,DAILY_BUDGET,PAUSED,USD,953,4,7.8,0.0,0,0,0,0.0,0,11,0,0,85,3,163
"Apr 01, 2025","=""516203922618177""",N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,20139,168,503.42,2226.35,11,13,8,1044.5,10,239,0,21,0,0,7993
"Jan 23, 2025","=""327967099369911""",N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Apr 11, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,5116,38,237.31,3235.06,22,23,18,2252.31,18,319,0,44,0,0,3823
"Feb 10, 2025","=""209147373785811""",N.Keyword.Video.SB.UPS.PFCSinewave.CPPFC(1),,250,DAILY_BUDGET,PAUSED,USD,4985,19,93.22,619.85,3,3,3,619.85,3,43,0,15,639,172,1069
"Feb 05, 2025","=""209147373785811""",N.Keyword.Video.SB.UPS.PFCSinewave.CPPFC(1),,250,DAILY_BUDGET,PAUSED,USD,8886,40,172.45,1414.87,5,7,5,1414.87,7,95,0,8,939,256,1621
"Mar 09, 2025","=""85546644235770""",C.Keyword.Video.SB.UPS.IntelligentLCD.CPAVR3,,250,DAILY_BUDGET,PAUSED,USD,3026,18,16.68,189.95,1,1,1,189.95,1,52,0,3,199,18,377
