Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Brand store page views,Add to cart,5-second views (video ad),Complete views (video ad),Viewable impressions
"Jun 18, 2025","=""84817009251939""",C.Keyword.Video.SB.PFCSinewave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,20855,135,261.27,3064.84,9,10,7,2457.88,8,290,0,14,1864,185,3658
"Jul 26, 2025","=""501364882562485""",C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,708,0,0.0,0.0,0,0,0,0.0,0,0,0,0,106,16,142
"Jul 22, 2025","=""400654489506156""",B.Keyword.Products.SB.UPS.BestSellers,,250,DAILY_BUDGET,PAUSED,USD,56209,57,524.87,439.85,3,3,2,319.9,2,75,0,4,0,0,15469
"Jun 27, 2025","=""450441693358033""",B2B - B.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,1383,4,5.43,726.95,1,1,1,726.95,1,16,0,1,0,0,246
"Jun 28, 2025","=""456008348744441""",N.SB.Products.SB.UPS.PFC,,250,DAILY_BUDGET,PAUSED,USD,95162,177,3513.72,59.95,1,1,1,59.95,1,103,0,8,0,0,43084
"Jul 06, 2025","=""349078398145277""",N.SB.Products.SB.UPS.Eco,,250,DAILY_BUDGET,PAUSED,USD,243031,456,1460.47,396.8,4,4,4,396.8,4,387,0,19,0,0,62183
"Jul 03, 2025","=""533553529526025""",N.Keyword.Video.SB.PFCSinewave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,PAUSED,USD,10,0,0.0,0.0,0,0,0,0.0,0,0,0,0,1,0,2
"Aug 06, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,8554,67,316.26,884.75,5,5,5,884.75,5,122,33,10,1944,668,2500
"Jul 03, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,269,2,3.97,163.74,2,2,2,163.74,2,18,0,5,0,0,191
"Jul 08, 2025","=""501138070676838""",N.SB.Products.SB.UPS.AVR,,250,DAILY_BUDGET,PAUSED,USD,44308,47,116.27,238.75,1,1,1,238.75,1,63,0,3,0,0,6872
"Jun 22, 2025","=""456008348744441""",N.SB.Products.SB.UPS.PFC,,250,DAILY_BUDGET,PAUSED,USD,38933,103,220.56,4679.84,8,20,6,3822.04,16,168,0,14,0,0,5353
"Aug 25, 2025","=""452338404496050""",B.SB.Products.SB.UPS.PFC,,250,DAILY_BUDGET,PAUSED,USD,7541,40,467.64,1687.69,6,7,6,1687.69,7,108,57,10,0,0,2888
"Jul 24, 2025","=""85546644235770""",C.Keyword.Video.SB.UPS.IntelligentLCD.CPAVR3,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Aug 26, 2025","=""400654489506156""",B.Keyword.Products.SB.UPS.BestSellers,,250,DAILY_BUDGET,PAUSED,USD,59706,56,805.21,1488.55,8,9,8,1488.55,9,92,98,10,0,0,17960
"May 04, 2025","=""85546644235770""",C.Keyword.Video.SB.UPS.IntelligentLCD.CPAVR3,,250,DAILY_BUDGET,PAUSED,USD,3784,25,37.59,489.85,3,3,3,489.85,3,73,0,10,280,19,663
"Jul 12, 2025","=""400654489506156""",B.Keyword.Products.SB.UPS.BestSellers,,250,DAILY_BUDGET,PAUSED,USD,67031,74,868.73,389.75,4,5,3,249.8,4,143,0,13,0,0,19396
"Jul 08, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,628,5,13.09,1286.58,9,9,4,390.29,4,76,0,13,0,0,446
"Jun 26, 2025","=""60249080858733""",C.Keyword.Video.SB.UPS.PFCSinewave.CPPFC(1),,250,DAILY_BUDGET,PAUSED,USD,393,0,0.0,0.0,0,0,0,0.0,0,0,0,0,24,5,45
"Aug 12, 2025","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,8801,55,243.31,1349.03,7,9,3,742.84,4,81,23,6,1924,652,2505
"Jun 15, 2025","=""112828660396406""",N.Keyword.Video.SB.UPS.SmartAppSinewave.OLHD,,250,DAILY_BUDGET,PAUSED,USD,554,4,5.44,0.0,0,0,0,0.0,0,7,0,0,30,5,59
"May 02, 2025","=""85546644235770""",C.Keyword.Video.SB.UPS.IntelligentLCD.CPAVR3,,250,DAILY_BUDGET,PAUSED,USD,3900,29,42.97,519.85,3,3,3,519.85,3,67,0,6,286,16,619
"May 27, 2025","=""74868404430193""",N.Keyword.Video.SB.UPS.SmartAppLCD.OR.OR500LCRM1U,,250,DAILY_BUDGET,PAUSED,USD,714,3,2.49,599.85,3,3,2,399.9,2,13,0,5,37,5,95
"Jun 02, 2025","=""327967099369911""",N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Jul 04, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,103,2,0.82,0.0,0,0,0,0.0,0,6,0,0,0,0,68
"Jun 07, 2025","=""38757712528936""",B.Keyword.Video.SB.UPS.PFCSinewave.CPPFC(1),,250,DAILY_BUDGET,PAUSED,USD,1107,5,38.75,239.15,1,1,0,0.0,0,41,0,1,107,25,216
"Jun 14, 2025","=""249902179030051""",N.Keyword.Video.SB.UPS.Surge.CSP,,250,DAILY_BUDGET,PAUSED,USD,1409,25,17.94,24.49,1,1,1,24.49,1,34,0,1,143,14,295
"Jul 15, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,497,2,4.84,0.0,0,0,0,0.0,0,18,0,0,0,0,382
"Jul 17, 2025","=""300358990869228""",B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,420,0,3.89,9.89,1,1,1,9.89,1,8,0,1,0,0,331
"May 25, 2025","=""288898439745613""",B2B - N.Keyword.Products.SB.UPS.1500units,,250,DAILY_BUDGET,ENABLED,USD,5039,23,190.3,379.9,1,2,0,0.0,0,24,0,5,0,0,2024
"Jul 05, 2025","=""209147373785811""",N.Keyword.Video.SB.UPS.PFCSinewave.CPPFC(1),,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Jul 25, 2025","=""353873361287335""",B2B - B.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,211,3,2.23,0.0,0,0,0,0.0,0,8,0,1,0,0,104
"Jul 10, 2025","=""74868404430193""",N.Keyword.Video.SB.UPS.SmartAppLCD.OR.OR500LCRM1U,,250,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
"Aug 24, 2025","=""516203922618177""",N.Keyword.Store.SB.UPS.StoreSpotlight,,250,DAILY_BUDGET,ENABLED,USD,1161,2,1.7,195.04,1,1,1,195.04,1,38,2,3,0,0,400
"Jul 03, 2025","=""84817009251939""",C.Keyword.Video.SB.PFCSinewave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,25843,110,219.61,1859.7,6,6,4,1199.8,4,241,0,17,2124,163,4696
