Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Add to cart,Viewable impressions,Viewable rate
"Jul 09, 2025","=""51640494101738""",C.Product.Consumer.SP.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,467,2,3.35,0.0,0,0,0,0.0,0,3,0,0,
"May 18, 2025","=""51640494101738""",C.Product.Consumer.SP.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,108,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Jun 17, 2025","=""263494384088815""",C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,,250,DAILY_BUDGET,ENABLED,USD,2774,6,2.96,2075.47,10,14,6,1598.54,10,103,12,1152,
"Jul 09, 2025","=""401081905525372""",C.Competitor.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,29755,41,137.62,1589.75,5,5,4,1259.8,4,78,9,0,
"Jul 07, 2025","=""51640494101738""",C.Product.Consumer.SP.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,65,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Jul 24, 2025","=""124438051163565""",C.SD.Product.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,450,DAILY_BUDGET,ENABLED,USD,5580,7,21.93,1270.75,5,5,4,1030.8,4,59,4,2598,
"Aug 10, 2025","=""401081905525372""",C.Competitor.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,783,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Jun 06, 2025","=""287421757846510""",C.Keyword.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,322,1,0.6,0.0,0,0,0,0.0,0,1,0,0,
"May 09, 2025","=""401081905525372""",C.Competitor.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,12226,30,62.52,399.94,2,2,2,399.94,2,83,9,0,
"Jun 22, 2025","=""401081905525372""",C.Competitor.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,,250,DAILY_BUDGET,ENABLED,USD,593,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
