Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Brand store page views,Add to cart,5-second views (video ad),Complete views (video ad),Viewable impressions
"Mar 11, 2026","=""422752340317837""",B.Keyword.Store.SB.UPS.2026.StoreSpotlight,,5000,DAILY_BUDGET,ENABLED,USD,65278,101,278.21,3758.69,15,17,14,3518.74,16,212,153,31,0,0,10917
"Feb 05, 2026","=""436092719312252""",B.Keyword.Video.SB.UPS.2026.StoreSpotlight,,2500,DAILY_BUDGET,ENABLED,USD,8039,36,151.53,1007.85,2,2,2,1007.85,2,105,24,5,1018,309,1520
"Feb 15, 2026","=""496257674867474""",N.Keyword.Video.SB.UPS.PFCSinewave.2026.CP1500PFCLCD.B00429N19W,,5000,DAILY_BUDGET,ENABLED,USD,3339,20,35.06,479.9,2,2,2,479.9,2,28,0,2,272,42,586
"Mar 24, 2026","=""410331745640501""",N.Keyword.Video.SB.UPS.2026.StoreSpotlight,,5000,DAILY_BUDGET,ENABLED,USD,13704,70,265.7,369.16,2,2,2,369.16,2,110,42,4,1879,625,2862
"Feb 16, 2026","=""496257674867474""",N.Keyword.Video.SB.UPS.PFCSinewave.2026.CP1500PFCLCD.B00429N19W,,5000,DAILY_BUDGET,ENABLED,USD,4306,15,30.97,467.9,2,2,2,467.9,2,40,3,4,307,64,676
"Jan 02, 2026","=""335733425531216""",N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,,250,DAILY_BUDGET,ENABLED,USD,0,1,3.9,119.95,1,1,1,119.95,1,0,1,0,0,0,0
"Mar 18, 2026","=""436092719312252""",B.Keyword.Video.SB.UPS.2026.StoreSpotlight,,2500,DAILY_BUDGET,ENABLED,USD,6853,46,209.07,1871.27,7,8,6,1187.37,6,116,21,13,972,315,1465
"Jan 22, 2026","=""298664655817372""",C.Keyword.Video.SB.PFCSinewave.2026.CP1500AVRLCD3,,4500,DAILY_BUDGET,ENABLED,USD,98818,1652,5590.42,21140.65,102,107,91,18837.25,95,3019,42,251,11921,1072,25032
"Mar 22, 2026","=""298664655817372""",C.Keyword.Video.SB.PFCSinewave.2026.CP1500AVRLCD3,,4500,DAILY_BUDGET,ENABLED,USD,26684,233,756.23,1145.7,6,6,6,1145.7,6,413,13,22,2739,266,5723
"Feb 19, 2026","=""520121709405886""",C.Keyword.Video.SB.PFCSinewave.2026.CP1500PFCLCD,,3000,DAILY_BUDGET,ENABLED,USD,5756,16,39.45,372.9,2,2,2,372.9,2,50,0,2,233,40,517
