Date,Campaign ID,Campaign name,Campaign currency code,Campaign budget amount,Campaign budget type,Campaign delivery status,Budget currency,Impressions,Clicks,Total cost,Sales,Purchases,Units sold,Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Detail page views,Add to cart,Viewable impressions,Viewable rate
"Jan 16, 2026","=""318904892472489""",B00429N18S_SD_Consideration_CXT-Category-Competitive brands_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,269,1,41.21,239.95,1,1,1,239.95,1,3,2,0,
"Feb 07, 2026","=""378661668519490""",B00429N18S_SD_Consideration_AUDT-Similar products views remarketing_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,
"Feb 10, 2026","=""520906012389097""",B00429N18S_SD_Consideration_CXT-Similar products_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Mar 18, 2026","=""296198269696664""",C.SD.Keyword.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,
"Jan 29, 2026","=""378661668519490""",B00429N18S_SD_Consideration_AUDT-Similar products views remarketing_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,171748,255,918.96,0.0,0,0,0,0.0,0,189,0,0,
"Feb 08, 2026","=""382929702717487""",B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,,450,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,
"Jan 06, 2026","=""560720574941385""",B00429N18S_SD_Conversion_AUDT-purchase remarketing-promoted products-key promoted products_cpc_20251230,,96,DAILY_BUDGET,PAUSED,USD,7090,17,14.9,938.33,4,4,0,0.0,0,93,4,0,
"Jan 10, 2026","=""339355478634336""",B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Feb 21, 2026","=""170474248246250""",C.SD.Product.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,17164,32,61.1,2045.54,8,10,5,1055.74,6,84,11,7064,
"Jan 04, 2026","=""296198269696664""",C.SD.Keyword.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,0,0,0.0,0.0,0,0,0,0.0,0,4,0,0,
"Feb 18, 2026","=""170474248246250""",C.SD.Product.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,,250,DAILY_BUDGET,ENABLED,USD,22206,25,71.36,2582.0,7,8,4,909.75,5,50,5,10931,
"Feb 04, 2026","=""462435011616528""",B00429N18S_SD_Consideration_AUDT-Promoted category views remarketing_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,
"Jan 07, 2026","=""339355478634336""",B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,54008,39,163.23,0.0,0,0,0,0.0,0,30,2,0,
"Feb 15, 2026","=""382929702717487""",B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,,450,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,
"Jan 22, 2026","=""318904892472489""",B00429N18S_SD_Consideration_CXT-Category-Competitive brands_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,172,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Feb 15, 2026","=""560720574941385""",B00429N18S_SD_Conversion_AUDT-purchase remarketing-promoted products-key promoted products_cpc_20251230,,96,DAILY_BUDGET,PAUSED,USD,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,
"Jan 22, 2026","=""520906012389097""",B00429N18S_SD_Consideration_CXT-Similar products_cpc_20251230,,450,DAILY_BUDGET,PAUSED,USD,18665,20,75.02,0.0,0,0,0,0.0,0,21,1,0,
